PAD,ASIC,Channel,Channeltype
12,0,28,0
13,0,31,0
14,0,30,0
25,0,27,0
26,0,35,0
27,0,33,0
42,0,65,0
43,0,29,0
44,0,34,0
45,0,32,0
57,0,68,0
58,0,18,0
59,0,25,0
60,0,20,0
74,0,70,0
75,0,71,0
76,0,22,0
77,0,26,0
78,0,23,0
91,0,69,0
92,0,63,0
93,0,24,0
94,0,21,0
95,0,19,0
110,0,66,0
111,0,64,0
112,0,67,0
113,0,10,0
114,0,0,1
115,0,12,0
116,0,14,0
130,0,59,0
131,0,57,0
132,0,56,0
133,0,11,0
134,0,16,0
135,0,9,0
153,0,50,0
154,0,55,0
155,0,62,0
156,0,58,0
157,0,17,0
158,0,15,0
159,0,13,0
174,0,52,0
175,0,61,0
176,0,60,0
177,0,54,0
178,0,4,0
179,0,0,0
180,0,2,0
197,0,48,0
198,0,47,0
199,0,41,0
200,0,37,0
201,0,40,0
202,0,1,0
203,0,5,0
204,0,6,0
220,0,53,0
221,0,1,1
222,0,49,0
223,0,43,0
224,0,39,0
225,0,36,0
226,0,7,0
227,0,8,0
228,0,3,0
246,0,46,0
247,0,51,0
248,0,45,0
249,0,42,0
250,0,38,0
251,0,44,0
252,1,40,0
253,1,1,1
254,1,42,0
255,1,44,0
271,1,15,0
272,1,13,0
273,1,16,0
274,1,12,0
275,1,11,0
276,1,36,0
277,1,38,0
278,1,39,0
295,1,0,0
296,1,17,0
297,1,9,0
298,1,14,0
299,1,10,0
300,1,41,0
301,1,43,0
302,1,37,0
318,1,2,0
319,1,18,0
320,1,24,0
321,1,26,0
322,1,45,0
323,1,48,0
324,1,50,0
341,1,1,0
342,1,20,0
343,1,22,0
344,1,25,0
345,1,46,0
346,1,51,0
347,1,52,0
361,1,21,0
362,1,19,0
363,1,23,0
364,1,49,0
365,1,47,0
366,1,53,0
381,1,30,0
382,1,28,0
383,1,27,0
384,1,61,0
385,1,0,1
386,1,57,0
387,1,56,0
400,1,29,0
401,1,31,0
402,1,59,0
403,1,60,0
404,1,54,0
418,1,34,0
419,1,33,0
420,1,55,0
421,1,62,0
422,1,58,0
436,1,32,0
437,1,66,0
438,1,65,0
439,1,64,0
452,1,35,0
453,1,63,0
454,1,69,0
455,1,68,0
466,1,67,0
467,1,71,0
468,1,70,0

-1,1,3,0
-2,1,4,0
-3,1,5,0
-4,1,6,0
-5,1,7,0
-6,1,8,0
-10,0,0,100
-11,0,1,100
-12,0,2,100
-13,0,3,100
-14,1,0,100
-15,1,1,100
-16,1,2,100
-17,1,3,100
